,STATION,ENTRIES,EXITS,geometry
160,briarwood,-0.4160694381062047,-0.3705444683652581,POINT (-73.82069263637443 40.70916181536946)
161,brighton beach,-0.3678033979946601,-0.31433665590963045,POINT (-73.96135378598797 40.57771019664244)
162,broadway,-0.3141083926835708,-0.3291975339303234,POINT (-73.95031225606621 40.70612657627417)
163,broadway,-0.3141083926835708,-0.3291975339303234,POINT (-73.92582299919906 40.76143199880055)
164,broadway,-0.3141083926835708,-0.3291975339303234,POINT (-73.99620399876055 40.72529699873805)
165,brooklyn bridge,2.007263283186311,1.1013849156869666,POINT (-74.0041310005885 40.71306499943314)
166,burnside av,-0.39523559216136356,-0.34868363308789696,POINT (-73.9076840015997 40.85345300155693)
167,canal st,0.268118378694334,0.06661503645187326,POINT (-74.00019299927328 40.71880300107709)
168,canal st,0.268118378694334,0.06661503645187326,POINT (-74.0062770001748 40.72285399778783)
169,canal st,0.268118378694334,0.06661503645187326,POINT (-74.0052290023424 40.72082400007119)
170,canal st,0.268118378694334,0.06661503645187326,POINT (-73.99982638545937 40.71817387697391)
171,canal st,0.268118378694334,0.06661503645187326,POINT (-74.0018260000577 40.71946500105898)
172,canal st,0.268118378694334,0.06661503645187326,POINT (-74.00105471306033 40.71881426358713)
173,carroll st,-0.3883922991789917,-0.3518230510466663,POINT (-73.99494697998841 40.68027335170176)
174,castle hill av,-0.4100553409153667,-0.35294338917249524,POINT (-73.85122199961472 40.83425499825462)
175,chambers st,0.5536494694943593,0.6961207184608869,POINT (-74.00858473570133 40.71411100077403)
176,chambers st,0.5536494694943593,0.6961207184608869,POINT (-74.00926600170112 40.71547800011327)
177,chambers st,0.5536494694943593,0.6961207184608869,POINT (-74.00340673031336 40.71323378962671)
178,christopher st,4.540092261698388,1.7972004419187726,POINT (-74.00290599855235 40.73342200104225)
179,church av,-0.3230562485409875,-0.3240365367159381,POINT (-73.97972116229084 40.64427200012998)
180,church av,-0.3230562485409875,-0.3240365367159381,POINT (-73.96288246192114 40.65049324646484)
181,church av,-0.3230562485409875,-0.3240365367159381,POINT (-73.94945514035334 40.6508606878022)
182,city hall,-0.01937397896129327,-0.3070208026161648,POINT (-74.00698581780337 40.71327233111697)
183,clark st,-0.3698534276549161,-0.3024552667894997,POINT (-73.99308599821961 40.69746599996469)
184,classon av,-0.37319474511761364,-0.31324812938692814,POINT (-73.95999000137212 40.68888900026455)
185,clinton,0.5095154220707849,1.2372044146022292,POINT (-73.9667959986695 40.68809400106055)
186,clinton,0.5095154220707849,1.2372044146022292,POINT (-73.96583799857275 40.68326299912644)
187,cortelyou rd,-0.3521044538413234,-0.34104817004306387,POINT (-73.96379005505493 40.6409401651401)
188,court sq,-0.21279908277706464,-0.37152328502400633,POINT (-73.94526400039679 40.74702299889643)
189,court sq 23 st,-0.3776330622068839,-0.3529186162912645,POINT (-73.94605470266329 40.74776812141432)
190,crown hts,-0.2804907863268655,-0.3267259939219654,POINT (-73.93293256081851 40.66897831107809)
191,cypress hills,-0.4200048592560834,-0.3703209587286488,POINT (-73.87332199882995 40.68961600083875)
192,dekalb av,0.9826295942799608,0.26427007293535326,POINT (-73.98177094440949 40.69064811996979)
193,dekalb av,0.9826295942799608,0.26427007293535326,POINT (-73.91823200219723 40.70369299961644)
194,dyckman st,-0.4346435786946356,-0.38165014443333156,POINT (-73.92553600006474 40.86053100138796)
195,dyckman st,-0.4346435786946356,-0.38165014443333156,POINT (-73.92727099960726 40.86549099896892)
196,east broadway,-0.2607901790482191,-0.336324873618004,POINT (-73.99017700122197 40.71385500102041)
197,elmhur av,0.4448578210141759,1.8565328909077319,POINT (-73.8820347465864 40.74237007972169)
198,euclid av,-0.4134180087982071,-0.369006539785677,POINT (-73.87210600099675 40.67537699823936)
199,far rockaway,-0.4300478604927244,-0.3660194495499828,POINT (-73.75540499924732 40.60399500168754)
200,flushing,-0.34677683414736865,-0.2839178655198076,POINT (-73.83003000262508 40.75959999915012)
201,fordham rd,-0.3070550427017731,-0.3512763912085854,POINT (-73.89774900102401 40.8612959986835)
202,fordham rd,-0.3070550427017731,-0.3512763912085854,POINT (-73.90103399921699 40.86280299988937)
203,franklin av,0.6468822054839548,3.612896476564054,POINT (-73.9580997367769 40.67076515344894)
204,franklin av,0.6468822054839548,3.612896476564054,POINT (-73.95582700110425 40.68059566598263)
205,franklin av,0.6468822054839548,3.612896476564054,POINT (-73.95684800014614 40.68137966658742)
206,fulton st,0.5954298014002349,0.28996220838076747,POINT (-73.97537499833149 40.68711899950771)
207,fulton st,0.5954298014002349,0.28996220838076747,POINT (-74.00762309323994 40.71016216530185)
208,fulton st,0.5954298014002349,0.28996220838076747,POINT (-74.00657099970202 40.70941599925865)
209,fulton st,0.5954298014002349,0.28996220838076747,POINT (-74.00793800110387 40.71002266658424)
210,fulton st,0.5954298014002349,0.28996220838076747,POINT (-74.00950899856461 40.71036799882214)
211,graham av,-0.3744326397764348,-0.3463756252466458,POINT (-73.94394399869037 40.71457599836364)
212,gra st,-0.1283628625571387,1.130092763274054,POINT (-73.94049699874644 40.71157600064823)
213,gra st,-0.1283628625571387,1.130092763274054,POINT (-73.99375299913589 40.71826699954992)
214,grant av,-0.37051120856988173,-0.31639143482002674,POINT (-73.86504999877702 40.67704400054478)
215,greenpoint av,-0.42412670589856016,-0.37164740457707535,POINT (-73.95442500146235 40.73126699971465)
216,gun hill rd,-0.38351477566995,-0.36042846910258736,POINT (-73.86613410538703 40.87783938517202)
217,gun hill rd,-0.38351477566995,-0.36042846910258736,POINT (-73.84638400151765 40.86952599962676)
218,halsey st,-0.2649955865428057,-0.2931669532164116,POINT (-73.9166388842194 40.68641527070434)
219,halsey st,-0.2649955865428057,-0.2931669532164116,POINT (-73.90393400118631 40.69551800114878)
220,harlem 148 st,-0.40135537527285436,-0.3526016244893513,POINT (-73.93647000005559 40.82388000080457)
221,high st,4.164547668665113,3.960396238095419,POINT (-73.99053100065458 40.69933699977884)
222,hoyt st,-0.42929417876566917,-0.36897695775774775,POINT (-73.98506379575646 40.69054418535472)
223,hoyt,-0.3526412868086867,-0.2898466919049653,POINT (-73.98503624034139 40.68840847580642)
224,jamaica 179 st,0.338602061305673,-0.17712117610095357,POINT (-73.78381700176453 40.71264566674405)
225,jay st,-0.2402169310159368,-0.3579812401837512,POINT (-73.98721815267317 40.69247063684708)
226,jay st,-0.2402169310159368,-0.3579812401837512,POINT (-73.98605667854612 40.69225539645323)
227,jefferson st,0.4265183020749241,-0.017727913969066544,POINT (-73.9229130000312 40.70660666598872)
228,junction blvd,-0.38793164433878263,-0.3126799256715132,POINT (-73.86952700103515 40.74914499948836)
229,kew gardens,-0.3819813193024979,-0.32889666666304745,POINT (-73.8303702709878 40.71403481957103)
230,kings hwy,0.29570222998603085,0.7591122752428233,POINT (-73.9723553085244 40.60325840512827)
231,kings hwy,0.29570222998603085,0.7591122752428233,POINT (-73.95760873538083 40.60863864539601)
232,kings hwy,0.29570222998603085,0.7591122752428233,POINT (-73.98037300229343 40.60405899980493)
233,kingston av,-0.30113298206603667,-0.25981668996542445,POINT (-73.94215978392963 40.66948144864978)
234,kingston,-0.40241807546081254,-0.3384253809290241,POINT (-73.94085899871263 40.67991899941601)
235,lexington av 53 st,0.25954776447597616,1.093955475483799,POINT (-73.96907237490204 40.75746830782865)
236,lexington av 63 st,0.8958849118044723,-0.33368574225529285,POINT (-73.96608964413245 40.76461809442373)
237,marble hill 225 st,-0.4379293805814364,-0.3862022970376644,POINT (-73.90983099923551 40.87456099941789)
238,metropolitan av,-0.0805322853309789,-0.3215282199326751,POINT (-73.9514239994525 40.71277400073426)
